/* A sample input file */
#L_UNITS ang
#E_UNITS eV
#S_UNITS GPA
#F_UNITS EV/ANG
#ALAT 	6.88  // alat comment
#X 1.0 0.0 0.0
#Y 0.0 1.054129 0.0
#Z 0.0 0.0 1.0
#C 2 2 2
#sx 0.000 0.0 0.0
#sy 0.0 0.000 0.0
#sz 0.0 0.0 0.000
#RCUT 6.5
#EPA -4.27
#M FE  56.0
#M PD  106.0
PD	-0.0008451	-0.0007461	-0.0006087	-0.00022941	-0.00016647	7.993E-05
FE	0.2546027	0.2676859	-0.0006034	-0.00042896	0.00132563	-0.00030947
FE	0.2560732	-0.0006968	0.2569751	0.00051755	-0.00022488	-0.00259108
FE	-0.0008153	0.2686352	0.2548389	0.0004914	-0.00137372	-0.00133732
FE	-0.0001681	-0.0001767	0.4989488	-0.00196858	-0.00146391	0.00103844
FE	0.249988	0.263177	0.4992365	-0.00090159	0.00214939	-0.00016188
FE	0.2563563	-0.0004073	0.7419108	-0.00106161	-0.00127102	0.00170461
FE	-0.0006395	0.2683886	0.7445404	-0.00018312	-0.00032096	-0.00147606
FE	-0.0002111	0.5265494	-0.0008046	-0.00114033	-0.00034269	0.00040091
FE	0.2547435	0.7848747	0.0001829	-0.00052349	-0.00113784	-0.00286729
FE	0.250475	0.5265519	0.2506185	-0.00122814	-0.00096753	-0.00133101
FE	-0.0006784	0.7845779	0.2544673	-0.00023637	-0.00039549	-0.00010999
FE	-0.0005099	0.5266629	0.4994604	-0.0009744	-0.00118715	-0.00067889
FE	0.2496233	0.7891714	0.4989245	-0.00035446	-0.00056658	0.00182482
FE	0.2508211	0.5258021	0.7477134	-0.00187171	0.00159366	0.00190932
FE	-0.0015382	0.78378	0.7440313	0.00257363	0.00189551	0.00090881
FE	0.4997094	-0.001004	-0.0008593	-0.00101394	0.00069975	0.00033596
FE	0.7438411	0.2683526	-0.0013156	0.00089187	-0.00031005	0.00130393
FE	0.741316	-0.0009934	0.2564626	0.00309407	0.00075033	-0.00101687
FE	0.4991731	0.2634866	0.2493026	0.00044754	0.00097742	0.00084863
FE	0.4990463	-8.09E-05	0.4991637	0.00078334	-0.00196203	0.00075385
FE	0.7489154	0.2628561	0.4991161	-0.00044273	0.00296579	0.00080047
FE	0.7422556	-0.0009295	0.7422338	0.00043315	-5.272E-05	-3.41E-06
FE	0.4992581	0.2633107	0.7487455	0.00010767	0.00076381	7.272E-05
FE	0.4988854	0.5265677	-0.0012829	0.00093609	-0.00067605	0.00177591
FE	0.7435125	0.7846908	-0.0001262	0.00133118	-0.00134988	-0.00155434
FE	0.7486679	0.5258313	0.249903	-0.00057801	0.00083367	0.0002377
FE	0.4994374	0.7885247	0.2501886	-0.000702	0.00090723	-0.00054604
FE	0.4984713	0.5265374	0.4993229	0.00349862	-0.00112548	-0.0003088
FE	0.749144	0.788993	0.498887	-0.00100486	-0.00035572	0.0011813
FE	0.7483076	0.5263186	0.7487538	-2.345E-05	-0.00013035	-0.00104747
FE	0.4992647	0.7888951	0.7485645	-0.00023893	0.00051833	0.00016261
