/* Converted from PWscf output file */ 
#L_UNITS ang 
#E_UNITS eV 
#S_UNITS GPA 
#F_UNITS EV/ANG 
#ALAT 	   7.86     // a0 
#X 	   1.00000     0.00000     0.00000     // X 
#Y 	   0.00000     1.00000     0.00000     // Y 
#Z 	   0.00000     0.00000     1.00000     // Z 
#EPA 	  -3.91032     // Energy per Atom 
#RCUT 	6.5        // Rcut 
PD 0.1274924   0.1274924   0.1274924  
PD -0.0447353  -0.0447353  -0.0447353 
PD -0.0447353   0.2997201   0.2997201 
PD 0.2997201  -0.0447353   0.2997201  
PD 0.2997201   0.2997201  -0.0447353  
PD -0.0002789  -0.0002789   0.5075718  
PD -0.0002789   0.2552637   0.7673520  
PD  0.2552637  -0.0002789   0.7673520  
PD  0.2552637   0.2552637   0.5075718  
PD -0.0002789   0.5075718  -0.0002789  
PD -0.0002789   0.7673520   0.2552637  
PD    0.2552637   0.5075718   0.2552637  
PD   0.2552637   0.7673520  -0.0002789  
PD    0.0001613   0.5221396   0.5221396  
PD   0.0001613   0.7527843   0.7527843  
PD   0.2548234   0.5221396   0.7527843  
PD  0.2548234   0.7527843   0.5221396  
PD  0.5075718  -0.0002789  -0.0002789  
PD   0.5075718   0.2552637   0.2552637  
PD  0.7673520  -0.0002789   0.2552637  
PD   0.7673520   0.2552637  -0.0002789  
PD  0.5221396   0.0001613   0.5221396  
PD  0.5221396   0.2548234   0.7527843  
PD  0.7527843   0.0001613   0.7527843  
PD  0.7527843   0.2548234   0.5221396  
PD  0.5221396   0.5221396   0.0001613  
PD   0.5221396   0.7527843   0.2548234  
PD   0.7527843   0.5221396   0.2548234  
PD   0.7527843   0.7527843   0.0001613  
PD  0.5162247   0.5162247   0.5162247  
PD  0.5162247   0.7586991   0.7586991  
PD  0.7586991   0.5162247   0.7586991  
PD  0.7586991   0.7586991   0.5162247  
